Magma V2.19-1     Mon Jun 10 2013 21:33:15 on selmer   [Seed = 1219436829]
Type ? for help.  Type <Ctrl>-D to quit.
Loading "global/ProjAction_0.txt"
Loading "global/ModuleAction_0.txt"
Loading "global/RecursiveMatrix.txt"
Loading "H2_0_7/LevelData_pgl.txt"
Loading "H2_0_7/Space_pgl.txt"
Loading "global/Utility.txt"
[2   , 0  , 1  ]   0  1 
[2   , 1  , 1  ]   0  1 
[4   , 0  , 2  ]   0  3 
[4   , 1  , 1  ]   0  2 
[4   , 2  , 1  ]   0  2 
[7   , 3  , 1  ]   0  1 
[8   , 0  , 2  ]   0  5 
[8   , 2  , 2  ]   0  5 
[8   , 2  , 1  ]   0  3 
[8   , 5  , 1  ]   0  3 
[9   , 0  , 3  ]   0  1 
[11  , 4  , 1  ]   0  1 
[11  , 6  , 1  ]   0  1 
[14  , 3  , 1  ]   0  3 
[14  , 10 , 1  ]   0  3 
[16  , 0  , 4  ]   0  8 
[16  , 2  , 2  ]   0  7 
[16  , 4  , 2  ]   0  7 
[16  , 5  , 1  ]   0  4 
[16  , 10 , 1  ]   0  4 
[18  , 0  , 3  ]   0  3 
[18  , 3  , 3  ]   0  3 
[22  , 4  , 1  ]   0  3 
[22  , 6  , 1  ]   0  3 
[22  , 15 , 1  ]   0  3 
[22  , 17 , 1  ]   0  3 
[23  , 9  , 1  ]   0  1 
[23  , 13 , 1  ]   0  1 
[25  , 0  , 5  ]   0  1 
[28  , 6  , 2  ]   1  7 
[28  , 10 , 1  ]   0  5 
[28  , 17 , 1  ]   0  5 
[29  , 7  , 1  ]   0  1 
[29  , 21 , 1  ]   0  1 
[32  , 0  , 4  ]   0 11 
[32  , 4  , 4  ]   0 11 
[32  , 4  , 2  ]   0  9 
[32  , 10 , 2  ]   0  9 
[32  , 5  , 1  ]   0  5 
[32  , 26 , 1  ]   0  5 
[36  , 0  , 6  ]   0  7 
[36  , 3  , 3  ]   0  5 
[36  , 6  , 3  ]   0  5 
[37  , 8  , 1  ]   0  1 
[37  , 28 , 1  ]   0  1 
[43  , 18 , 1  ]   0  1 
[43  , 24 , 1  ]   0  1 
[44  , 8  , 2  ]   1  7 
[44  , 12 , 2  ]   1  7 
[44  , 6  , 1  ]   0  5 
[44  , 17 , 1  ]   0  5 
[44  , 26 , 1  ]   0  5 
[44  , 37 , 1  ]   0  5 
[46  , 9  , 1  ]   1  3 
[46  , 13 , 1  ]   0  3 
[46  , 32 , 1  ]   0  3 
[46  , 36 , 1  ]   1  3 
[49  , 0  , 7  ]   0  4 
[50  , 0  , 5  ]   0  3 
[50  , 5  , 5  ]   0  3 
[53  , 14 , 1  ]   0  1 
[53  , 38 , 1  ]   0  1 
[56  , 6  , 2  ]   2 11 
[56  , 20 , 2  ]   2 11 
[56  , 10 , 1  ]   0  7 
[56  , 45 , 1  ]   0  7 
[58  , 7  , 1  ]   0  3 
[58  , 21 , 1  ]   0  3 
[58  , 36 , 1  ]   0  3 
[58  , 50 , 1  ]   0  3 
[63  , 9  , 3  ]   1  3 
[64  , 0  , 8  ]   0 15 
[64  , 4  , 4  ]   0 14 
[64  , 8  , 4  ]   0 14 
[64  , 10 , 2  ]   0 11 
[64  , 20 , 2  ]   0 11 
[64  , 26 , 1  ]   0  7 
[64  , 37 , 1  ]   0  7 
[67  , 11 , 1  ]   0  1 
[67  , 55 , 1  ]   0  1 
[71  , 31 , 1  ]   0  1 
[71  , 39 , 1  ]   0  1 
[72  , 0  , 6  ]   0 11 
[72  , 6  , 6  ]   0 11 
[72  , 6  , 3  ]   0  7 
[72  , 15 , 3  ]   0  7 
[74  , 8  , 1  ]   0  3 
[74  , 28 , 1  ]   0  3 
[74  , 45 , 1  ]   0  3 
[74  , 65 , 1  ]   0  3 
[77  , 17 , 1  ]   0  3 
[77  , 59 , 1  ]   0  3 
[79  , 12 , 1  ]   0  1 
[79  , 66 , 1  ]   0  1 
[81  , 0  , 9  ]   0  5 
[86  , 18 , 1  ]   1  3 
[86  , 24 , 1  ]   1  3 
[86  , 61 , 1  ]   1  3 
[86  , 67 , 1  ]   1  3 
[88  , 8  , 2  ]   2 11 
[88  , 12 , 2  ]   3 11 
[88  , 30 , 2  ]   3 11 
[88  , 34 , 2  ]   2 11 
[88  , 26 , 1  ]   1  7 
[88  , 37 , 1  ]   1  7 
[88  , 50 , 1  ]   1  7 
[88  , 61 , 1  ]   1  7 
[92  , 18 , 2  ]   2  7 
[92  , 26 , 2  ]   2  7 
[92  , 9  , 1  ]   2  5 
[92  , 13 , 1  ]   0  5 
[92  , 78 , 1  ]   0  5 
[92  , 82 , 1  ]   2  5 
[98  , 0  , 7  ]   0  9 
[98  , 7  , 7  ]   0  9 
[99  , 12 , 3  ]   0  3 
[99  , 18 , 3  ]   0  3 
[100 , 0  , 10 ]   0  7 
[100 , 5  , 5  ]   0  5 
[100 , 10 , 5  ]   0  5 
[106 , 14 , 1  ]   0  3 
[106 , 38 , 1  ]   0  3 
[106 , 67 , 1  ]   0  3 
[106 , 91 , 1  ]   0  3 
[107 , 48 , 1  ]   0  1 
[107 , 58 , 1  ]   0  1 
[109 , 29 , 1  ]   0  1 
[109 , 79 , 1  ]   0  1 
[112 , 12 , 4  ]   4 17 
[112 , 20 , 2  ]   3 15 
[112 , 34 , 2  ]   3 15 
[112 , 10 , 1  ]   0  9 
[112 , 101, 1  ]   0  9 
[113 , 42 , 1  ]   0  1 
[113 , 70 , 1  ]   0  1 
[116 , 14 , 2  ]   0  7 
[116 , 42 , 2  ]   0  7 
